McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
56,0,697,0,14,1649,4,1
1,0,156,0,12,1649,4,1
5,0,68,0,3,72,2,0
15,0,167,0,3,72,2,0
6,0,88,0,3,72,2,0
52,0,267,0,2,72,2,0
1,0,5,0,3,72,2,1
1,0,5,0,2,72,2,0
1,0,22,0,42,1649,5,0
153,0,1062,0,12,1649,4,1
5,0,47,0,3,72,2,1
40,0,374,0,8,1649,4,0
2,0,191,0,10,1649,4,1
21,0,273,0,13,1649,4,0
1,0,7,0,2,72,2,0
1,0,1,0,7,72,2,0
6,0,123,0,3,72,2,1
1,0,169,0,10,1649,4,1
12,0,255,0,12,1649,4,1
9,0,584,0,9,1649,4,1
95,0,493,0,10,72,2,1
1,0,4,0,2,72,2,1
120,0,1358,0,16,72,3,0
4,0,299,0,27,72,4,0
1,0,6,0,6,72,2,0
1,0,17,0,8,72,2,0
1,0,20,0,11,72,2,0
1,0,40,0,8,72,2,0
17,0,429,0,16,72,3,0
9,0,124,0,13,72,3,0
1,0,20,0,7,72,2,0
1,0,6,0,6,72,2,0
1,0,17,0,8,72,2,0
1,0,16,0,8,72,2,0
1,0,129,0,13,72,2,0
1,0,23,0,7,72,2,0
1,0,50,0,4,72,2,1
10,0,58,1,7,72,3,1
5,0,31,0,6,72,2,1
1,0,53,0,4,72,2,0
16,0,104,0,10,72,2,1
1,0,15,0,3,72,2,0
14,0,54,0,7,72,2,0
1,0,15,0,4,72,2,0
1,0,15,0,3,72,2,0
25,0,159,0,8,72,2,0
1,0,17,0,6,72,2,0
1,0,15,0,3,72,2,0
4,0,35,0,14,72,2,1
29,0,176,0,10,72,2,1
15,0,68,0,10,72,2,0
6,0,39,0,5,72,2,1
1,0,59,0,7,72,2,1
9,0,54,0,16,72,2,1
7,0,41,0,13,72,2,1
1,0,1,0,4,72,3,0
1,0,15,0,5,72,3,0
20,0,131,0,21,72,2,1
16,0,680,1,18,1649,4,1
1,0,15,0,4,72,2,0
1,0,16,0,5,72,2,0
6,0,35,0,5,72,2,0
30,0,207,0,11,72,2,1
2,0,30,0,9,72,2,0
1,0,133,0,5,72,2,0
2,0,35,0,8,72,2,0
1,0,1,0,5,72,2,0
4,0,29,0,10,72,2,0
2,0,26,0,12,72,2,0
1,0,1,0,5,72,2,0
1,0,16,0,4,72,2,1
17,0,158,1,8,72,2,0
20,0,119,0,3,72,2,0
32,0,229,0,5,72,2,0
1,0,1,0,5,72,2,0
8,0,64,0,3,72,2,0
1,0,6,0,17,72,3,0
1,0,9,0,19,72,2,0
6,0,34,0,7,72,2,0
1,0,7,0,4,72,2,0
4,0,47,0,7,72,3,0
1,0,31,0,12,72,3,0
7,0,56,0,10,72,2,1
1,0,22,0,6,72,2,0
2,0,26,0,4,72,2,0
1,0,17,0,3,72,2,0
1,0,17,0,3,72,2,0
5,0,66,0,8,72,3,0
1,0,6,0,3,72,2,0
2,0,39,0,9,72,3,0
1,0,26,0,9,72,3,0
1,0,1,0,6,72,3,0
2,0,23,0,3,72,2,0
2,0,23,0,3,72,2,0
1,0,6,0,4,72,2,0
1,0,1,0,5,72,2,0
5,0,52,0,9,72,2,0
4,0,28,0,10,72,2,0
6,0,35,0,11,72,2,0
1,0,28,0,10,72,2,0
2,0,21,0,3,4057,1,0
2,0,15,0,3,4057,1,0
1,0,4,0,3,4057,1,0
3,0,41,0,6,4057,1,0
6,0,51,0,7,72,2,0
5,0,28,1,6,72,2,0
6,0,57,0,12,72,2,1
2,0,30,0,8,4057,1,0
6,0,146,0,6,4057,1,0
1,0,29,0,9,4057,1,0
4,0,110,0,10,72,2,0
1,0,1,0,3,4057,1,0
3,0,68,0,4,4057,1,0
1,0,13,0,3,4057,1,0
1,0,11,0,3,4057,1,0
1,0,13,0,3,4057,1,0
1,0,1,0,4,4057,1,0
2,0,30,0,8,4057,1,0
2,0,31,0,10,4057,1,0
8,0,62,1,2,72,2,0
1,0,36,0,12,72,2,0
1,0,34,0,10,4057,1,0
1,0,36,0,11,4057,1,0
2,0,89,0,8,4057,1,0
1,0,42,0,6,4057,1,0
1,0,16,0,2,4057,1,0
1,0,16,0,2,4057,1,0
1,0,9,0,2,4057,1,0
1,0,9,0,2,4057,1,0
1,0,16,0,8,4057,2,0
1,0,14,0,6,4057,2,0
1,0,9,0,2,4057,1,0
1,0,7,0,3,4057,1,0
1,0,9,0,5,4057,2,0
1,0,7,0,3,4057,1,0
1,0,16,0,2,4057,1,0
1,0,16,0,2,4057,1,0
1,0,9,0,2,4057,1,0
1,0,9,0,2,4057,1,0
1,0,16,0,8,4057,2,0
1,0,14,0,6,4057,2,0
1,0,9,0,2,4057,1,0
1,0,7,0,2,4057,1,0
1,0,9,0,5,4057,2,0
1,0,7,0,3,4057,1,0
2,0,43,0,10,4057,1,0
2,0,31,0,9,4057,1,0
1,0,17,0,4,4057,1,0
1,0,24,0,4,4057,1,0
5,0,45,0,12,4057,1,0
5,0,44,0,12,4057,1,0
14,0,70,2,9,72,3,0
1,0,28,1,13,72,4,0
57,0,218,7,17,72,2,1
24,0,55,2,5,72,3,0
1,0,16,0,5,72,2,0
58,0,296,6,15,72,4,1
2,0,25,0,5,72,2,0
4,0,72,0,8,72,2,0
8,0,121,0,9,72,2,0
3,0,51,0,4,72,2,0
2,0,36,0,4,72,2,0
1,0,65,0,8,72,2,0
15,0,116,0,18,72,3,0
1,0,18,0,5,72,2,0
24,0,116,2,16,72,3,0
30,0,89,0,11,72,4,1
1,0,17,0,3,72,2,0
26,0,99,1,13,72,2,0
19,0,92,0,15,72,2,1
5,0,15,0,9,72,2,0
22,0,132,0,18,72,2,1
3,0,40,0,4,72,2,0
78,0,580,0,10,72,2,0
1,0,26,0,15,72,4,0
115,0,531,2,29,72,4,1
16,0,115,0,14,72,3,1
10,0,82,0,5,72,2,0
1,0,7,0,12,72,4,0
1,0,21,0,7,72,2,0
1,0,18,0,6,72,2,1
1,0,5,0,12,72,4,0
1,0,22,0,7,72,2,0
1,0,18,0,6,72,2,0
63,0,233,0,5,72,2,0
1,0,13,0,8,72,2,0
19,0,119,0,4,72,2,0
1,0,1,0,4,72,2,0
49,0,231,2,15,72,4,0
9,0,72,0,7,72,3,0
25,0,120,3,9,72,3,0
1,0,1,0,4,72,2,0
1,0,98,0,6,72,2,0
5,0,38,0,9,72,2,0
2,0,20,0,7,72,2,0
4,0,48,0,6,72,2,0
1,0,22,0,6,72,2,0
1,0,18,0,5,72,2,0
1,0,25,0,6,72,2,0
1,0,18,0,5,72,2,0
18,0,90,0,5,72,2,0
3,0,17,0,4,72,2,0
4,0,62,0,18,72,3,0
2,0,48,0,12,72,3,0
2,0,68,0,10,72,3,0
2,0,47,0,13,72,3,0
1,0,9,0,9,72,3,0
1,0,25,0,10,72,3,0
2,0,45,0,10,72,3,0
11,0,150,0,11,72,3,0
2,0,47,0,11,72,3,0
6,0,96,0,13,72,3,0
3,0,47,0,6,72,2,0
1,0,1,0,9,72,3,0
11,0,298,0,18,72,3,0
1,0,6,0,4,72,2,0
1,0,3,0,2,0,0,0
1,0,11,0,17,72,3,0
1,0,14,0,18,72,3,0
145,0,596,0,36,72,3,0
50,0,280,0,40,72,3,0
1,0,7,0,14,72,3,0
1,0,18,0,9,72,3,0
2,0,18,0,11,72,2,0
1,0,10,0,11,72,2,0
14,0,77,0,11,72,2,0
7,0,41,0,11,72,2,0
7,0,45,0,11,72,2,0
61,0,490,0,13,72,3,0
1,0,7,0,14,72,3,0
1,0,9,0,13,72,3,0
27,0,184,0,26,72,3,0
21,0,161,0,18,72,3,0
1,0,60,0,17,72,4,0
1,0,3,0,13,72,3,0
1,0,5,0,12,72,3,0
1,0,14,0,12,72,3,0
1,0,7,0,12,72,3,0
23,0,204,0,18,72,3,0
125,0,513,0,34,72,3,1
6,0,54,0,5,72,2,0
1,0,24,0,14,72,3,0
16,0,94,0,11,72,3,0
1,0,7,0,12,72,3,0
1,0,13,0,14,72,3,0
1,0,7,0,9,72,2,0
1,0,20,0,9,72,2,0
8,0,63,0,12,72,3,0
4,0,53,0,11,72,2,0
1,0,1,0,6,72,2,0
1,0,21,0,9,72,2,0
1,0,20,0,9,72,2,0
7,0,49,0,9,72,2,0
1,0,7,0,7,72,2,0
6,0,50,0,9,72,2,0
12,0,74,0,19,72,4,0
6,0,55,0,9,72,2,0
69,0,261,0,23,72,4,0
20,0,95,3,22,72,4,0
1,0,6,0,10,72,4,0
1,0,6,0,6,72,2,0
1,0,49,0,20,72,5,1
22,0,138,5,25,72,4,1
17,0,98,8,26,72,4,1
17,0,98,6,24,72,4,1
4,0,27,0,10,72,4,0
1,0,25,0,6,72,2,0
1,0,4,0,4,72,2,0
1,0,10,0,5,72,2,0
8,0,67,0,25,72,6,1
11,0,86,1,21,72,5,1
7,0,74,1,20,72,5,1
7,0,75,1,20,72,5,1
4,0,50,0,11,72,4,0
4,0,41,0,12,72,4,0
4,0,17,0,5,72,2,0
4,0,392,5,19,72,2,0
4,0,99,2,13,72,3,0
4,0,20,0,5,72,2,0
2,0,99,0,5,72,3,0
3,0,57,1,12,72,3,0
5,0,40,1,8,72,2,0
1,0,44,0,4,72,2,0
4,0,44,2,3,72,2,0
4,0,203,2,9,72,3,0
16,0,242,0,26,72,3,0
1,0,44,0,15,72,4,0
1,0,40,0,12,72,4,0
1,0,40,0,12,72,4,0
10,0,147,0,8,72,2,1
17,0,166,0,11,4057,1,0
1,0,16,0,5,72,4,0
7,0,72,0,6,4057,1,1
1,0,17,0,4,72,3,0
87,0,530,21,56,72,3,1
1,0,4,0,1,1649,1,0
7,0,77,0,5,1649,2,0
1,0,6,0,4,1649,2,0
1,0,5,0,3,4057,2,0
11,0,89,0,7,4057,2,0
10,0,71,0,6,1649,2,0
7,0,61,0,4,1649,2,0
40,0,244,11,35,4057,3,1
4,0,35,0,1,4057,1,0
24,0,236,1,14,72,3,1
1,0,6,0,2,4057,1,0
14,0,116,0,11,72,2,0
1,0,10,0,2,4057,1,0
1,0,6,0,2,4057,1,0
7,0,60,3,10,4057,3,1
4,0,26,0,1,4057,1,0
8,0,155,1,14,4057,2,0
16,0,66,0,7,72,4,0
1,0,74,0,7,72,4,0
1,0,8,0,4,4057,1,0
1,0,21,0,6,72,4,0
2,0,94,0,6,72,4,0
1,0,8,0,7,72,4,0
1,0,74,0,6,72,4,0
1,0,9,0,2,4057,1,0
1,0,75,0,6,72,4,0
1,0,9,0,3,4057,1,0
1,0,72,0,6,72,4,0
1,0,9,0,3,4057,1,0
9,0,116,0,6,72,4,0
4,0,54,0,2,4057,1,0
1,0,1,0,2,4057,1,0
1,0,72,0,6,72,4,0
1,0,9,0,2,4057,1,0
1,0,9,0,1,4057,1,0
1,0,9,0,4,4057,1,0
1,0,4,0,2,4057,1,0
5,0,67,0,3,4057,1,0
4,0,35,0,1,4057,1,0
46,0,340,0,15,72,4,0
1,0,73,0,7,72,4,0
1,0,1,0,1,4057,1,0
2,0,30,0,2,4057,1,0
1,0,8,0,6,72,4,0
1,0,7,0,2,4057,1,0
1,0,5,0,2,4057,1,0
10,0,61,0,5,1649,3,0
3,0,44,0,4,4057,1,0
7,0,67,1,10,4057,2,1
1,0,1,0,1,4057,1,0
5,0,35,0,5,4057,3,0
1,0,16,0,6,72,2,0
5,0,31,0,5,72,2,1
2,0,37,0,2,4057,1,0
7,0,63,0,5,4057,3,0
2,0,48,0,5,4057,3,0
236,0,1089,0,5,72,3,0
87,0,556,0,7,4057,3,0
87,0,545,0,5,4057,3,0
111,0,524,0,5,4057,3,0
51,0,365,0,4,72,3,0
1,0,48,0,5,4057,3,0
1,0,1,0,2,72,2,0
1,0,60,0,2,4057,1,0
26,0,215,0,2,4057,1,0
20,0,157,0,7,4057,3,0
1,0,11,0,2,4057,1,0
1,0,157,0,6,72,4,0
1,0,153,0,6,72,4,0
1,0,11,0,2,4057,1,0
1,0,157,0,6,72,4,0
1,0,11,0,2,4057,1,0
1,0,158,0,6,72,4,0
1,0,11,0,2,4057,1,0
1,0,155,0,6,72,4,0
1,0,11,0,2,4057,1,0
1,0,157,0,6,72,4,0
4,0,45,0,12,72,4,0
4,0,58,0,8,4057,1,0
2,0,40,0,10,72,3,0
1,0,24,0,8,4057,1,0
4,0,59,0,23,72,4,0
3,0,37,0,10,4057,1,0
2,0,49,0,27,72,3,0
1,0,24,0,9,4057,1,0
4,0,29,0,6,4057,1,0
3,0,46,0,13,72,4,0
9,0,89,0,6,4057,1,0
1,0,21,0,4,72,2,0
2,0,31,0,10,72,3,0
1,0,34,0,3,4057,1,0
1,0,17,0,4,72,2,0
2,0,22,0,4,4057,1,0
5,0,77,0,7,72,2,0
1,0,14,0,2,4057,1,0
1,0,14,0,2,4057,1,0
6,0,74,0,12,72,4,0
6,0,75,0,4,4057,1,0
1,0,19,0,1,4057,1,0
211,0,2382,0,1,4057,1,0
2,0,31,0,7,72,3,0
2,0,48,0,4,4057,1,0
1,0,19,0,1,4057,1,0
4,0,57,0,10,72,4,0
3,0,38,1,6,1649,3,0
2,0,45,0,8,72,3,0
1,0,23,0,3,4057,1,0
2,0,38,0,7,72,3,0
31,0,114,0,11,72,2,1
2,0,41,0,12,72,4,0
1,0,32,0,7,4057,1,0
5,0,64,0,10,72,2,0
1,0,19,0,1,4057,1,0
3,0,44,0,12,72,4,0
2,0,24,0,6,4057,3,0
2,0,34,0,8,72,2,0
2,0,39,0,6,4057,1,0
6,0,56,0,10,72,4,0
1,0,20,0,7,4057,3,0
1,0,25,0,1,4057,1,0
