McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
23,0,280,5,11,309,55,1
3,0,62,0,5,11,208,0
1,0,53,0,7,26,1840,0
10,0,165,0,8,38,55,0
4,0,63,0,6,28,1840,0
1,0,14,0,2,2,258,0
6,0,34,0,4,11,258,0
1,0,17,0,1,1,1840,0
3,0,37,1,4,11,1840,0
5,0,23,0,1,1,1840,0
7,0,55,0,2,2,258,0
2,0,26,0,1,2,1840,1
8,0,54,0,1,2,1840,1
2,0,23,0,4,6,1840,0
2,0,23,0,4,6,1840,0
20,0,91,1,2,4,1840,0
3,0,28,0,3,5,1840,0
1,0,26,0,4,8,1840,0
24,0,114,0,1,1,1840,0
5,0,56,0,1,3,1840,0
9,0,66,0,1,2,1840,1
14,0,82,0,2,3,1840,0
3,0,214,2,6,60,648,1
19,0,97,0,1,2,258,0
10,0,193,3,9,150,1840,1
9,0,76,0,5,25,648,0
3,0,43,0,4,12,258,0
1,0,19,0,4,13,55,0
7,0,41,0,2,3,208,0
47,0,582,0,3,9,208,1
119,0,942,0,3,18,208,1
1,0,6,0,1,1,1840,0
92,0,240,0,9,149,648,1
105,0,392,3,7,139,1840,1
19,0,107,6,5,40,1840,1
108,0,408,7,7,211,208,1
4,0,25,0,7,14,1840,0
8,0,57,0,4,17,1840,0
5,0,51,1,4,49,1840,0
9,0,88,0,4,8,258,1
20,0,275,0,1,1,258,0
51,0,281,3,9,71,1840,1
20,0,126,0,5,26,1840,0
3,0,25,0,1,3,1840,1
1,0,14,0,2,2,55,0
2,0,18,0,2,3,1840,0
3,0,24,0,2,4,1840,0
2,0,14,1,1,1,55,0
1,0,34,0,5,17,648,0
88,0,189,0,2,10,1840,1
17,0,132,0,6,31,1840,1
11,0,56,0,2,2,1840,1
18,0,148,0,2,3,1840,0
228,0,423,0,3,13,1840,0
3,0,17,0,2,2,1840,0
31,0,174,2,9,88,1840,1
23,0,120,1,4,9,648,1
57,0,176,2,3,3,648,0
8,0,69,0,5,10,648,0
2,0,163,2,8,69,648,0
7,0,64,0,2,4,1840,0
8,0,53,0,4,4,55,0
1,0,7,0,1,1,1840,0
1,0,7,0,1,1,1840,0
1,0,12,0,2,2,1840,0
16,0,101,0,2,6,1840,0
5,0,41,0,2,2,1840,1
3,0,29,0,2,5,1840,0
6,0,43,0,3,7,55,1
4,0,37,0,1,1,55,0
18,0,103,0,3,6,55,0
2,0,33,1,2,4,1840,0
2,0,33,1,3,3,648,0
22,0,140,2,3,7,55,1
2,0,33,1,2,3,1840,0
15,0,94,1,3,6,55,1
1,0,34,0,2,2,1840,0
14,0,91,0,1,2,1840,0
1,0,34,0,2,2,1840,0
4,0,31,0,2,3,1840,0
3,0,27,0,2,4,1840,1
5,0,41,0,2,3,1840,0
