McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
1,0,25,0,2,6,1077,0
5,0,59,0,1,5,1077,0
1,0,18,0,3,8,1077,0
1,0,18,0,2,6,1077,0
1,0,12,0,3,14,1077,0
1,0,11,0,1,4,1077,0
1,0,14,0,1,2,1077,0
1,0,10,0,1,2,1077,0
1,0,10,0,2,3,1077,0
1,0,10,0,2,5,1077,0
1,0,10,0,3,4,53,0
1,0,15,0,1,4,1077,0
1,0,29,0,2,10,1077,0
19,0,183,0,4,18,53,0
20,0,184,0,5,36,53,0
6,0,67,0,2,9,1077,0
7,0,102,1,4,42,53,0
1,0,37,0,1,1,1077,0
1,0,9,0,3,16,1077,0
1,0,21,0,3,16,1615,0
1,0,112,0,1,3,53,0
1,0,2,0,1,2,1615,0
3,0,99,0,3,15,1077,0
1,0,25,0,1,2,1615,0
1,0,14,0,1,1,53,0
1,0,18,0,3,15,1615,0
1,0,15,0,2,4,1615,0
1,0,16,0,3,13,1615,0
1,0,29,0,1,1,53,0
1,0,15,0,2,6,1615,0
1,0,18,0,3,18,1615,0
1,0,15,0,2,5,1615,0
1,0,15,0,3,22,1615,0
1,0,14,0,1,1,53,0
1,0,17,1,2,6,1615,0
1,0,16,0,2,5,1615,0
1,0,18,0,3,15,1615,0
1,0,27,0,1,1,1077,0
1,0,16,0,3,10,53,0
1,0,16,0,2,4,1615,0
3,0,37,0,2,6,1615,0
1,0,15,0,4,16,53,0
1,0,15,0,3,3,53,0
1,0,20,0,3,8,53,0
1,0,22,0,3,20,1615,0
1,0,18,0,3,13,1615,0
1,0,16,0,3,3,53,0
1,0,18,0,3,13,1615,0
1,0,15,0,3,7,53,0
1,0,34,0,3,31,1615,0
1,0,11,0,4,18,53,0
1,0,16,0,3,3,53,0
1,0,12,0,3,15,1077,0
2,0,24,0,2,4,1615,0
1,0,20,0,3,8,53,0
1,0,18,0,3,13,1615,0
1,0,16,0,3,3,53,0
1,0,22,0,3,16,1615,0
1,0,18,0,3,13,1615,0
12,0,131,0,3,67,1615,0
1,0,30,0,3,17,1077,0
8,0,46,0,2,3,1077,0
1,0,6,0,2,3,1077,0
14,0,270,0,3,49,1077,0
47,0,396,0,4,92,53,0
46,0,365,0,3,49,1615,0
38,0,279,0,4,76,53,0
42,0,418,0,4,60,53,0
49,0,362,0,4,88,53,0
16,0,110,0,2,5,1615,0
9,0,99,0,3,8,1077,0
1,0,23,0,3,7,1615,0
5,0,91,0,3,13,1615,0
3,0,36,0,4,13,53,0
26,0,232,0,4,20,53,0
4,0,24,0,4,14,53,0
16,0,172,0,3,5,53,0
2,0,38,0,3,5,53,0
2,0,24,0,3,5,53,0
1,0,21,0,3,5,53,0
1,0,30,0,3,5,53,0
1,0,16,0,3,5,53,0
1,0,17,0,3,5,53,0
1,0,17,0,3,5,53,0
1,0,16,0,3,5,53,0
1,0,17,0,3,5,53,0
1,0,16,0,3,5,53,0
1,0,16,0,3,5,53,0
1,0,8,0,3,5,53,0
1,0,8,0,2,4,1615,0
1,0,5,0,2,4,1615,0
8,0,41,0,2,5,1615,0
20,0,269,0,2,4,1615,0
80,0,513,0,2,5,1615,1
1,0,8,0,2,4,1615,0
7,0,60,0,2,11,1077,0
8,0,109,1,2,18,1615,0
22,0,193,0,1,2,1077,0
1,0,29,0,1,3,1615,0
1,0,11,0,4,17,1615,0
41,0,371,0,2,30,1615,0
4,0,67,0,2,11,1077,0
72,0,713,0,4,70,1615,0
4,0,56,0,2,11,1615,0
15,0,195,0,4,19,1077,0
7,0,67,0,2,8,1077,0
31,0,302,0,3,48,1077,0
44,0,287,0,2,22,1077,0
6,0,87,0,4,12,1077,0
3,0,30,0,3,10,1077,0
1,0,20,0,3,7,142,0
1,0,22,0,2,8,1615,0
1,0,12,0,2,3,1077,0
23,0,114,0,2,14,1077,0
40,0,393,1,2,31,1615,0
33,0,227,0,2,15,1077,0
34,0,288,0,2,29,1077,0
7,0,88,0,1,2,1077,0
31,0,254,0,2,15,1077,0
101,0,1392,12,4,106,1615,0
1,0,7,0,4,32,53,0
26,0,323,1,2,33,1615,0
11,0,238,0,2,12,1615,0
1,0,2,0,2,2,1077,0
1,0,2,0,2,5,1077,0
1,0,2,0,2,2,1077,0
1,0,2,0,2,4,1077,0
1,0,2,0,2,2,1077,0
1,0,2,0,2,2,1077,0
1,0,9,0,2,2,1615,0
26,0,234,0,2,4,1615,0
25,0,293,0,2,12,1077,0
2,0,35,0,2,2,1615,0
9,0,76,0,1,1,1077,0
3,0,41,0,2,3,1077,0
4,0,27,0,2,4,1077,0
22,0,290,1,3,29,1615,0
1,0,29,0,2,6,1615,0
9,0,194,1,2,18,1615,0
2,0,32,0,2,6,1615,0
3,0,16,0,2,6,1615,0
1,0,11,0,1,1,1077,0
1,0,21,0,2,6,1615,0
8,0,120,0,2,10,1077,0
6,0,164,0,2,8,1077,0
5,0,42,0,2,3,1077,0
23,0,96,0,2,3,1077,0
1,0,16,0,2,3,1077,0
1,0,7,0,2,3,1077,0
14,0,80,0,2,3,1077,0
1,0,10,0,2,3,1077,0
4,0,29,0,2,3,1077,0
4,0,33,0,2,3,1077,0
6,0,35,0,2,3,1077,0
2,0,20,0,2,3,1077,0
1,0,37,0,2,6,1077,0
6,0,44,0,1,1,1077,0
2,0,18,0,1,3,1077,0
11,0,164,0,2,11,1077,0
1,0,9,0,1,1,1077,0
6,0,108,0,2,9,1077,0
2,0,30,0,1,3,1077,0
1,0,34,0,1,1,1077,0
16,0,194,0,3,8,53,0
14,0,655,0,2,28,1615,0
1,0,29,0,2,10,1615,0
3,0,124,0,2,3,1077,0
4,0,68,0,1,1,1615,0
5,0,60,0,1,1,1077,0
1,0,27,0,2,12,1077,0
1,0,17,0,2,10,1077,0
1,0,15,0,2,2,1615,0
1,0,14,0,1,2,1077,0
1,0,14,0,2,4,1077,0
11,0,168,0,2,12,1077,0
15,0,128,0,2,13,1077,0
5,0,85,0,2,19,1077,0
4,0,42,0,1,3,1077,0
14,0,208,0,2,8,1077,0
14,0,95,0,2,35,1615,0
3,0,31,0,2,6,1077,0
1,0,87,0,2,5,1077,0
1,0,7,0,1,2,1077,0
57,0,528,1,3,31,1077,0
4,0,16,0,2,4,1077,0
2,0,38,0,1,4,1077,0
1,0,46,0,2,6,1077,0
2,0,29,1,1,8,1077,0
2,0,19,0,2,2,1615,0
10,0,63,0,2,5,1077,0
1,0,3,0,1,1,1077,0
44,0,475,1,5,113,53,0
17,0,273,0,4,38,53,0
1,0,13,0,3,4,53,0
1,0,27,0,2,2,1615,0
1,0,14,0,3,16,53,0
1,0,5,0,2,2,53,0
19,0,69,0,2,12,53,0
1,0,13,0,1,2,1077,0
1,0,8,0,2,16,1077,0
1,0,19,0,3,8,53,0
3,0,49,0,3,12,53,0
1,0,13,0,1,2,1077,0
1,0,17,0,2,7,1077,0
1,0,13,0,2,6,1615,0
1,0,5,0,2,3,1077,0
1,0,16,0,3,14,53,0
1,0,5,0,2,5,1615,0
1,0,7,0,2,6,1615,0
1,0,20,0,4,8,53,0
1,0,6,0,2,2,53,0
1,0,6,0,2,2,53,0
1,0,6,0,2,6,1615,0
1,0,4,0,2,2,53,0
1,0,15,0,1,1,1077,0
1,0,10,0,3,12,53,0
1,0,12,0,3,12,53,0
4,0,24,0,3,8,53,0
12,0,41,0,2,2,53,0
3,0,15,0,2,6,1615,0
7,0,38,0,2,7,1077,0
4,0,35,0,2,4,53,0
1,0,8,0,3,9,53,0
1,0,5,0,2,2,53,0
1,0,13,0,1,2,1077,0
1,0,10,0,1,2,1077,0
1,0,18,0,3,11,53,0
1,0,17,0,1,1,1077,0
24,0,178,0,3,9,53,0
1,0,19,0,3,24,53,0
1,0,10,0,2,2,53,0
1,0,31,0,4,19,53,0
1,0,17,0,3,6,53,0
1,0,5,0,2,7,53,0
1,0,6,0,2,4,53,0
1,0,31,0,3,4,53,0
1,0,35,0,2,10,1077,0
1,0,7,0,1,1,1077,0
1,0,12,0,2,4,53,0
1,0,4,0,2,2,53,0
1,0,33,0,3,31,53,1
1,0,7,0,3,8,53,0
1,0,9,0,2,2,53,0
1,0,22,0,1,2,1077,0
1,0,37,0,2,14,1077,0
1,0,14,0,4,23,53,0
1,0,4,0,3,21,53,0
1,0,9,0,1,1,1077,0
1,0,89,0,4,13,53,1
2,0,22,0,2,6,1077,0
1,0,25,0,2,12,1077,0
5,0,87,0,4,28,53,0
2,0,19,0,3,9,1077,0
1,0,7,0,2,7,1077,0
10,0,94,0,3,6,53,0
7,0,82,0,1,2,1077,0
1,0,4,0,2,2,53,0
28,0,163,0,3,5,53,0
3,0,40,0,3,4,53,0
17,0,116,0,2,5,1077,0
1,0,34,0,2,6,1077,0
6,0,51,0,2,4,1077,1
10,0,60,0,1,2,1077,0
5,0,40,0,1,2,1077,0
1,0,20,0,1,1,1077,0
7,0,88,0,2,2,53,0
29,0,126,0,2,4,53,0
1,0,6,0,2,4,53,0
2,0,58,0,3,24,53,0
26,0,254,1,4,61,53,0
8,0,141,0,4,23,53,0
4,0,65,0,3,6,53,0
1,0,14,0,2,6,53,0
1,0,6,0,2,12,1077,0
3,0,31,0,2,7,53,0
1,0,14,0,2,16,1077,0
13,0,116,0,4,23,53,0
11,0,116,0,3,20,53,0
1,0,18,0,3,9,53,0
1,0,41,0,2,4,1077,0
1,0,34,0,3,7,53,0
4,0,16,0,1,6,1077,0
1,0,10,0,2,8,1615,0
9,0,52,0,3,21,53,0
1,0,22,0,4,33,53,0
1,0,8,0,2,4,1077,0
1,0,7,0,2,9,1615,0
3,0,27,0,2,3,1077,0
8,0,61,1,3,18,1077,0
6,0,48,1,3,16,1077,0
1,0,54,0,3,16,1615,0
16,0,82,1,4,31,1615,0
3,0,172,0,2,3,1077,0
1,0,17,0,3,17,1077,0
1,0,10,0,3,14,1077,0
1,0,7,0,2,8,1077,0
24,0,211,0,4,24,53,0
20,0,128,0,3,13,1615,0
1,0,4,0,3,5,1077,0
5,0,42,0,3,8,1615,0
1,0,11,0,3,7,1077,0
1,0,4,0,2,2,53,0
3,0,37,0,2,7,1077,0
1,0,5,0,3,8,1615,0
1,0,14,0,2,8,1615,0
1,0,14,0,2,8,1615,0
1,0,13,0,1,2,1077,0
1,0,9,0,2,4,53,0
1,0,8,0,1,2,1077,0
1,0,6,0,1,2,1077,0
1,0,37,0,2,4,1615,0
1,0,16,0,2,2,1615,0
16,0,107,0,3,13,53,0
14,0,104,0,3,5,53,0
13,0,64,0,4,33,1077,0
1,0,9,0,2,3,1077,0
5,0,14,0,3,9,1077,0
1,0,18,0,1,1,1077,0
11,0,66,0,2,5,1077,0
1,0,7,0,2,5,1077,0
