McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
1,0,23,0,9,2,1843,1
39,0,268,1,45,2,1843,1
108,0,626,1,158,2,1843,1
12,0,73,0,49,2,1843,0
14,0,82,0,20,2,1843,0
1,0,25,0,8,2,1843,0
53,0,301,0,22,2,1843,0
17,0,155,1,34,2,1300,0
1,0,49,0,18,2,1300,0
22,0,110,0,11,2,1843,0
25,0,99,0,16,2,1843,0
76,0,376,1,61,2,1300,0
3,0,22,0,7,2,1843,0
29,0,239,2,44,2,1300,0
63,0,527,0,79,2,1300,0
12,0,40,0,7,2,1300,0
30,0,262,0,51,2,1300,0
1,0,67,0,22,2,1843,0
17,0,209,0,78,2,1843,0
1,0,37,0,23,1,1843,0
10,0,61,0,43,2,1843,0
4,0,69,0,30,2,1300,0
28,0,114,1,10,2,1300,0
1,0,4,0,19,1,1843,0
42,0,362,1,71,2,1300,0
1,0,58,0,47,2,1843,0
18,0,97,0,24,2,1300,0
40,0,292,0,69,2,1300,0
25,0,226,1,71,2,1300,0
1,0,8,0,4,1,1843,0
23,0,90,0,10,1,1843,0
3,0,19,0,9,2,1843,0
10,0,56,0,8,2,1843,0
1,0,14,0,11,2,1843,0
1,0,23,0,4,1,1843,0
20,0,102,0,37,2,1300,0
1,0,10,0,15,2,1300,0
4,0,43,0,22,2,1843,0
1,0,3,0,5,1,1843,0
59,0,204,0,19,2,1300,0
8,0,81,0,21,2,1300,0
1,0,22,0,3,2,1300,0
4,0,43,0,15,2,1300,0
1,0,9,0,3,1,1843,0
1,0,11,0,10,2,1843,0
3,0,65,0,14,2,1300,0
35,0,195,0,50,2,1300,0
74,0,406,0,88,2,1300,0
1,0,33,0,13,2,1300,0
8,0,84,0,13,2,1300,0
32,0,144,0,67,2,1843,0
43,0,206,1,50,2,1300,0
5,0,130,0,23,2,1300,0
7,0,75,0,21,2,1300,0
25,0,92,0,32,2,1300,0
2,0,53,0,5,2,1300,0
1,0,6,0,5,1,1843,0
2,0,23,0,14,2,1300,0
4,0,52,0,20,2,1300,0
1,0,10,0,15,1,1843,0
21,0,144,0,12,3,1843,0
4,0,32,0,8,2,1300,0
64,0,278,0,49,2,1300,0
28,0,247,0,56,2,1300,0
1,0,13,0,9,1,1843,0
1,0,110,3,120,2,1300,0
89,0,571,0,149,2,1300,0
2,0,19,0,7,1,1843,0
2,0,26,0,6,2,1843,0
43,0,270,0,57,2,1300,1
8,0,36,0,12,2,1843,0
1,0,13,0,6,1,1843,0
1,0,10,0,7,2,1300,0
16,0,68,0,16,2,1843,0
2,0,28,0,15,1,1843,0
48,0,246,0,81,2,1300,0
1,0,12,0,5,1,1843,0
3,0,44,0,20,2,1300,0
1,0,12,0,7,1,1843,0
1,0,14,0,9,1,1843,0
1,0,10,0,6,2,1843,0
1,0,7,0,8,2,1843,0
1,0,7,0,8,2,1843,0
1,0,9,0,4,1,1843,0
1,0,9,0,4,1,1843,0
3,0,48,0,24,2,1843,0
1,0,8,0,7,2,1843,0
2,0,12,0,9,2,1843,0
1,0,3,0,3,1,1843,0
1,0,7,0,8,2,1843,0
1,0,15,0,4,2,1843,0
6,0,61,0,29,2,1843,0
1,0,6,0,7,2,1843,0
5,0,33,0,14,2,1843,0
7,0,67,0,26,2,1843,0
2,0,21,0,13,2,1843,0
1,0,9,0,9,2,1843,0
5,0,37,0,25,2,1843,0
1,0,16,0,12,1,1843,0
1,0,13,0,8,1,1843,0
3,0,30,0,14,2,1843,0
1,0,9,0,7,1,1843,0
1,0,25,0,13,2,1843,0
1,0,34,0,24,2,1843,0
1,0,19,0,14,2,1843,0
1,0,27,0,17,2,1843,0
1,0,19,0,14,2,1843,0
4,0,24,0,13,2,1843,0
1,0,9,0,6,2,1843,0
1,0,18,0,4,1,1843,0
1,0,26,0,19,2,1843,0
1,0,6,0,3,1,1843,0
1,0,12,0,7,1,1843,0
1,0,20,0,5,2,1843,0
1,0,13,0,11,2,1843,0
7,0,68,0,38,2,1843,0
2,0,21,0,16,2,1843,0
1,0,22,0,15,2,1843,0
1,0,17,0,3,1,1843,0
3,0,10,0,8,2,1843,0
43,0,314,0,56,2,1843,0
1,0,8,0,2,1,1843,0
5,0,36,0,23,2,1843,0
4,0,28,1,20,2,1300,0
7,0,34,0,12,2,1843,0
1,0,18,0,18,2,1843,0
1,0,16,0,8,1,1843,0
9,0,39,0,12,2,1843,0
1,0,9,0,7,1,1843,0
1,0,11,0,7,1,1843,0
1,0,16,0,8,1,1843,0
1,0,7,0,12,2,1843,0
5,0,37,0,11,2,1843,0
1,0,20,0,5,2,1300,0
1,0,23,0,16,2,1300,0
1,0,21,0,9,2,1300,0
28,0,162,0,19,2,1300,0
1,0,20,0,3,2,1843,0
1,0,17,0,11,2,1300,0
9,0,52,0,12,2,1300,0
8,0,66,0,15,2,1300,0
1,0,14,0,7,2,1300,0
1,0,21,0,9,2,1300,0
1,0,21,0,9,2,1300,0
1,0,14,0,6,2,1300,0
1,0,4,0,3,1,1300,0
1,0,14,0,7,2,1300,0
5,0,36,0,11,2,1843,0
1,0,3,0,5,2,1300,0
1,0,20,0,8,2,1300,0
1,0,14,0,7,2,1300,0
1,0,21,0,9,2,1300,0
1,0,14,0,5,2,1300,0
2,0,82,0,25,2,1300,0
5,0,87,0,24,2,1843,0
1,0,9,0,5,2,1843,0
1,0,10,0,8,2,1843,0
1,0,9,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,4,0,5,2,1843,0
1,0,4,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,5,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,13,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,13,0,5,2,1843,0
1,0,15,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,9,0,5,2,1843,0
5,0,40,0,26,2,1843,0
1,0,7,0,5,1,1843,0
6,0,43,0,5,1,1843,0
4,0,25,0,12,2,1843,0
1,0,9,0,9,2,1843,0
1,0,9,0,9,2,1843,0
1,0,11,0,8,2,1843,0
1,0,7,0,9,2,1843,0
1,0,7,0,9,2,1843,0
1,0,11,0,8,2,1843,0
4,0,28,0,14,2,1843,0
1,0,7,0,4,1,1843,0
1,0,10,0,6,1,1843,0
1,0,8,0,6,1,1843,0
8,0,65,0,38,2,1843,0
1,0,8,0,7,1,1843,0
1,0,7,0,6,1,1843,0
1,0,7,0,5,1,1843,0
86,0,920,0,136,2,1843,0
4,0,62,0,10,2,1843,0
44,0,191,1,5,2,1300,0
3,0,46,0,12,2,1300,0
1,0,334,1,34,2,1300,0
2,0,284,0,21,2,1300,0
3,0,413,0,23,2,1300,0
1,0,135,0,13,2,1300,0
7,0,334,0,29,2,1300,0
1,0,243,0,23,2,1300,0
8,0,425,0,43,2,1843,0
1,0,680,0,34,2,1300,0
2,0,214,0,33,2,1300,0
1,0,73,0,33,2,1300,0
3,0,127,0,5,2,1300,0
1,0,231,0,22,2,1300,0
1,0,587,1,42,2,1300,1
6,0,94,0,3,2,1843,0
1,0,270,0,40,2,1300,1
16,0,803,0,26,2,1300,0
1,0,341,0,9,2,1300,0
2,0,444,2,43,2,1300,1
1,0,154,0,18,2,1300,1
4,0,662,1,45,2,1300,1
1,0,187,0,24,2,1300,1
1,0,299,0,37,2,1300,1
1,0,226,1,50,2,1300,1
1,0,112,0,12,2,1300,1
228,0,1430,0,99,2,1300,0
2,0,30,0,11,2,1300,0
1,0,143,0,25,2,1843,1
1,0,453,1,48,2,1300,1
1,0,221,1,20,2,1300,1
1,0,113,0,39,2,1300,0
6,0,775,0,12,2,1300,0
8,0,140,0,19,2,1300,0
1,0,240,1,28,2,1300,1
1,0,74,0,7,2,1300,0
3,0,263,0,11,2,1300,0
3,0,164,0,7,2,1300,0
1,0,35,0,27,2,1300,0
1,0,17,1,36,2,1300,0
4,0,47,0,10,2,1300,0
17,0,143,0,25,2,1300,0
3,0,23,0,16,2,1843,0
1,0,43,0,16,2,1843,0
55,0,271,0,48,2,1300,0
1,0,7,0,19,2,1300,0
9,0,152,0,27,2,1300,0
4,0,29,0,9,2,1843,0
12,0,52,0,31,2,1300,0
1,0,14,0,13,2,1843,0
38,0,263,1,61,2,1300,0
9,0,88,0,22,2,1300,0
2,0,46,1,31,2,1300,0
1,0,8,0,15,2,1300,0
1,0,15,0,20,2,1843,0
23,0,264,0,92,2,1300,0
3,0,40,1,26,2,1300,0
1,0,38,0,45,2,1843,0
61,0,409,0,125,2,1300,0
34,0,158,0,85,2,1300,0
6,0,63,0,18,2,1300,0
4,0,66,0,42,2,1300,0
5,0,83,0,59,2,1300,0
18,0,149,0,73,2,1300,0
1,0,19,0,20,2,1843,0
1,0,11,0,4,2,1300,0
1,0,12,0,9,2,1300,0
1,0,19,0,23,2,1300,0
58,0,325,0,15,2,1843,0
30,0,179,0,33,2,1843,0
28,0,198,0,21,2,1300,0
1,0,9,0,2,1,1843,0
1,0,32,0,19,2,1843,0
12,0,70,0,34,2,1300,0
11,0,97,0,32,2,1300,0
14,0,121,0,43,2,1843,0
35,0,246,0,76,2,1300,0
79,0,355,1,72,2,1300,0
4,0,92,1,31,2,1300,0
1,0,5,0,1,1,1300,0
1,0,26,0,20,2,1843,0
1,0,7,0,1,1,1300,0
1,0,7,0,1,1,1300,0
1,0,8,0,11,2,1300,0
1,0,4,0,5,2,1300,0
1,0,5,0,15,2,1300,0
1,0,28,0,15,2,1300,0
1,0,20,0,16,2,1843,0
7,0,74,0,14,2,1843,0
72,0,444,1,159,2,1300,0
27,0,132,0,45,2,1300,0
1,0,8,0,8,2,1300,0
3,0,23,0,19,2,1843,0
1,0,12,0,8,2,1300,0
178,0,811,1,269,2,1300,0
1,0,8,0,6,2,1300,0
1,0,7,0,7,2,1300,0
1,0,31,0,21,2,1300,0
108,0,474,0,68,2,1300,0
3,0,22,0,13,2,1300,0
30,0,162,0,17,2,1843,0
2,0,28,0,17,2,1843,0
1,0,8,0,5,2,1300,0
1,0,7,0,5,2,1300,0
1,0,25,0,20,2,1300,0
29,0,141,0,28,2,1843,0
2,0,30,0,19,2,1300,0
12,0,57,0,27,2,1300,0
1,0,7,0,5,2,1300,0
1,0,10,0,7,2,1300,0
1,0,8,0,5,2,1300,0
1,0,7,0,8,2,1300,0
2,0,58,0,30,2,1300,0
2,0,18,0,15,2,1843,0
3,0,50,0,33,2,1300,0
13,0,58,0,22,2,1843,0
8,0,85,0,53,2,1300,0
1,0,12,0,5,2,1843,0
