McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
1,0,22,0,3,8,53,0
6,0,66,0,4,11,142,0
1,0,25,0,3,9,1615,0
1,0,11,0,3,8,53,0
1,0,12,0,3,8,53,0
1,0,24,0,3,9,1615,0
1,0,10,0,3,3,53,0
1,0,10,0,3,3,53,0
3,0,55,1,4,14,1615,0
1,0,10,0,3,3,53,0
1,0,11,0,3,3,53,0
1,0,13,0,3,4,53,0
21,0,192,0,4,35,142,0
23,0,223,0,5,60,142,0
9,0,81,0,4,27,142,0
8,0,134,1,4,65,1615,0
1,0,18,0,4,11,142,0
1,0,23,0,4,6,142,0
1,0,27,0,4,13,142,0
1,0,76,0,4,7,1615,0
1,0,2,0,2,3,1077,0
1,0,2,0,1,2,1615,0
3,0,102,0,4,16,142,0
3,0,59,0,2,2,1077,0
1,0,25,0,1,2,1615,0
1,0,18,0,4,6,142,0
1,0,15,0,4,6,142,0
1,0,10,0,3,10,1077,0
1,0,16,0,4,6,142,0
1,0,15,0,4,6,142,0
1,0,18,0,4,6,142,0
1,0,15,0,4,6,142,0
1,0,10,0,3,10,1077,0
1,0,16,0,4,6,142,0
1,0,17,0,4,6,142,0
1,0,20,0,4,18,142,0
1,0,18,0,4,6,142,0
1,0,24,0,4,14,142,0
1,0,16,0,4,6,142,0
3,0,45,0,4,14,142,0
1,0,10,0,3,10,1077,0
1,0,15,0,4,6,142,0
1,0,15,0,4,6,142,0
1,0,16,0,4,6,142,0
1,0,15,0,4,7,142,0
1,0,20,0,4,13,142,0
1,0,16,0,4,11,142,0
1,0,19,0,4,15,142,0
1,0,16,0,4,11,142,0
1,0,17,0,2,3,1077,0
1,0,22,0,4,11,142,0
1,0,15,0,4,10,53,0
1,0,11,0,3,8,53,0
1,0,19,0,4,15,142,0
1,0,11,0,3,8,53,0
1,0,34,0,4,11,142,0
2,0,24,0,4,11,142,0
1,0,20,0,4,13,142,0
1,0,16,0,4,11,142,0
1,0,19,0,4,15,142,0
1,0,16,0,4,11,142,0
1,0,17,0,2,3,1077,0
1,0,22,0,4,11,142,0
17,0,199,0,4,108,1615,0
1,0,42,0,4,29,1077,0
8,0,46,0,3,4,53,0
1,0,6,0,3,4,53,0
15,0,268,0,4,25,142,0
47,0,420,0,5,141,1615,0
41,0,363,0,4,87,142,0
38,0,274,0,4,113,142,0
39,0,389,0,4,90,142,0
55,0,458,0,4,129,1077,0
4,0,38,0,3,8,1077,0
9,0,99,0,4,9,53,0
3,0,36,0,4,16,53,0
12,0,156,0,4,38,1077,1
4,0,24,0,4,15,53,0
1,0,8,0,4,6,53,0
7,0,82,0,2,6,1077,0
14,0,169,0,2,8,1077,0
3,0,40,0,3,8,1077,0
2,0,32,0,3,8,1077,0
2,0,28,0,4,10,1077,0
2,0,23,0,3,8,1077,0
2,0,24,0,3,8,1077,0
2,0,23,0,3,8,1077,0
2,0,32,0,3,9,1077,0
2,0,23,0,2,4,1077,0
2,0,23,0,2,4,1077,0
2,0,27,0,2,7,1077,0
2,0,23,0,2,4,1077,0
2,0,23,0,2,4,1077,0
2,0,24,0,2,4,1077,0
1,0,7,0,3,6,53,0
9,0,47,0,2,9,1077,0
20,0,265,0,4,18,53,0
82,0,642,1,4,54,1615,0
1,0,8,0,3,8,142,0
1,0,14,0,3,8,53,0
1,0,16,0,3,7,53,0
1,0,16,0,3,4,53,0
15,0,121,0,2,5,1615,0
7,0,56,0,2,14,1077,0
8,0,100,1,3,26,1615,0
22,0,193,0,1,3,1077,0
1,0,14,0,3,9,142,0
1,0,29,0,3,8,53,0
1,0,160,0,2,2,1077,0
45,0,390,0,4,14,1077,0
86,0,884,0,5,95,1077,0
4,0,56,0,3,15,53,0
20,0,218,0,5,31,1077,0
7,0,67,0,3,12,53,0
34,0,352,0,4,70,1615,0
44,0,295,0,3,39,1077,0
10,0,160,0,5,25,1077,0
1,0,9,0,2,2,1077,0
3,0,34,0,3,12,1077,0
1,0,20,0,3,7,142,0
1,0,22,0,2,16,1077,0
1,0,12,0,2,3,1077,0
3,0,77,0,2,6,1615,0
6,0,126,0,2,3,1615,0
12,0,263,1,4,60,1615,0
40,0,257,0,3,51,1615,0
34,0,288,0,2,36,1615,0
7,0,89,0,3,7,1077,0
16,0,122,0,3,23,1077,0
265,0,3751,14,5,209,1615,0
59,0,1026,3,4,97,1615,0
34,0,505,1,3,15,1615,0
38,0,293,1,2,12,1615,0
7,0,95,0,3,3,1077,0
1,0,2,0,2,2,1077,0
1,0,2,0,2,5,1077,0
1,0,2,0,2,2,1077,0
1,0,2,0,2,4,1077,0
1,0,2,0,2,2,1077,0
1,0,2,0,2,2,1077,0
1,0,9,0,3,6,142,0
39,0,384,0,3,23,1615,0
4,0,137,0,3,3,1077,0
25,0,294,0,3,15,1077,0
2,0,35,0,2,2,1615,0
9,0,78,0,1,2,1077,0
5,0,57,0,2,5,1077,0
4,0,27,0,2,4,1077,0
1,0,49,0,1,3,1615,0
30,0,623,1,6,71,1615,0
1,0,34,0,3,15,1077,0
16,0,265,1,3,36,53,0
2,0,32,0,2,6,1615,0
3,0,18,0,2,13,1077,0
12,0,180,0,3,7,53,0
1,0,11,0,1,1,1077,0
1,0,21,0,3,9,1077,0
8,0,121,0,2,12,1077,0
6,0,175,0,3,19,1615,0
5,0,42,0,2,3,1077,0
23,0,96,0,2,3,1077,0
1,0,16,0,2,3,1077,0
1,0,7,0,2,3,1077,0
14,0,80,0,2,3,1077,0
