McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
1049,0,4244,0,12,4,11,0
28,0,158,0,12,3,8,0
13,0,88,0,4735,1,2,0
18,0,88,0,4735,1,2,0
524,0,1704,0,12,4,10,0
160,0,723,0,12,4,9,0
4,0,38,0,12,3,7,0
13,0,85,0,4735,1,2,0
18,0,83,0,4735,1,2,0
35,0,174,0,4735,1,2,0
10,0,67,0,12,2,4,0
1,0,60,1,1466,2,3,0
16,0,78,1,1466,1,2,0
1,0,9,1,1466,1,2,0
1,0,17,1,1466,1,2,0
1,0,12,1,1466,1,2,0
1,0,12,1,1466,1,2,0
1,0,14,1,1466,1,2,0
1,0,9,1,1466,1,2,0
1,0,4,1,1466,1,2,0
28,0,135,4,12,5,11,1
93,0,450,4,12,12,103,0
1,0,9,1,12,5,11,0
1,0,15,1,31,3,6,1
1,0,5,1,1466,2,3,0
6,0,285,1,474,14,41,0
1,0,31,1,1466,3,6,0
1,0,50,1,12,5,11,0
3,0,31,1,1466,2,5,0
1,0,15,1,12,4,6,0
2,0,15,1,12,2,2,0
1,0,8,0,12,3,4,0
1,0,5,0,12,2,2,0
1,0,12,1,1466,2,4,0
1,0,24,1,1466,3,4,0
1,0,6,0,12,2,2,0
1,0,5,1,1466,2,3,0
1,0,19,2,1466,2,4,0
1,0,6,1,1466,2,3,0
1,0,7,1,1466,2,4,0
1,0,27,1,1466,3,5,0
1,0,10,1,1466,3,4,0
15,0,70,1,1466,2,4,0
1,0,12,1,1466,2,4,1
3,0,50,2,12,6,11,0
2,0,20,1,1466,3,6,0
2,0,10,1,1466,3,3,0
9,0,39,1,1466,2,4,0
26,0,206,2,1466,6,14,1
1,0,9,0,1466,1,1,0
1,0,10,0,1466,1,2,0
1,0,136,1,12,14,24,0
1,0,128,1,1466,6,12,0
1,0,9,0,1466,1,1,0
1,0,92,0,1466,1,1,0
1,0,180,0,1466,10,27,0
1,0,193,0,21,9,15,0
1,0,38,0,474,2,3,1
20,0,112,1,762,3,6,0
1,0,17,0,230,1,1,0
1,0,5,0,230,1,1,0
1,0,48,1,474,3,8,0
7,0,51,0,1466,1,1,0
1,0,27,0,4735,4,7,1
55,0,473,2,1466,8,22,1
20,0,215,0,479,1,1,0
1,0,5,0,4735,1,1,1
3,0,31,0,230,1,1,1
1,0,21,0,1466,2,2,0
42,0,250,0,230,2,6,0
1,0,6,0,1466,1,2,0
1,0,4,0,4735,1,1,1
1,0,5,0,4735,1,4,1
128,0,950,0,244,3,5,1
51,0,61,0,479,2,2,0
14,0,80,0,319,2,2,0
1,0,15,0,34,2,2,0
6,0,37,1,4735,3,5,1
1,0,72,0,4735,1,2,0
10,0,59,0,246,3,4,0
27,0,167,0,1466,1,1,0
19,0,77,0,89,3,5,0
11,0,136,0,1466,1,2,0
196,0,879,0,38,10,19,0
19,0,139,1,1466,4,14,0
2,0,32,0,1466,2,2,0
1,0,23,0,1466,2,2,0
1,0,8,0,1466,2,2,0
1,0,24,0,474,2,6,1
1,0,10,0,1466,1,1,0
2,0,31,0,1466,2,2,0
7,0,88,0,4735,3,4,1
3,0,31,0,474,1,2,1
1,0,15,0,1466,2,3,0
16,0,130,0,4735,2,5,1
45,0,212,2,374,4,11,1
2,0,20,0,4735,1,1,0
1,0,14,0,4735,1,1,0
37,0,219,0,479,4,17,1
1,0,8,0,4735,1,1,0
1,0,64,0,474,2,3,0
1,0,4,0,4735,1,1,0
19,0,183,0,244,4,13,1
1,0,9,0,4735,1,1,0
1,0,52,0,811,2,2,0
1,0,30,0,4735,1,1,0
1,0,5,0,4735,1,1,0
3,0,48,0,1466,2,3,0
1,0,15,0,4735,1,2,0
1,0,13,0,4735,1,1,0
44,0,216,1,479,2,5,0
1,0,16,0,4735,1,1,0
